Analyzing c:/dev/projects/aegis\.gitignore with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\.github\actions\aegis-ci\action.yml with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\.github\workflows\aegis-governance.yml with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\docs\ARCHITECTURE.md with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\docs\OPERATIONS.md with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\docs\REVIEW.md with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\docs\SPEC.md with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\docs\adr\001-microkernel-architecture.md with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\docs\adr\002-evaluation-engine-pipeline.md with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\docs\adr\003-universal-harness-abstraction.md with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\docs\adr\004-cross-agent-session-state.md with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\docs\adr\005-composable-rule-packs.md with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\docs\adr\006-observability-telemetry.md with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\scratch\danger_file.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\scratch\debug_plugin.txt with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\scratch\dummy_service.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\scratch\evil_file.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\scratch\plugin_test.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\scratch\plugin_test_output.txt with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\scratch\query_service.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\scratch\semantic_test_output.txt with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\scratch\tree_sitter_test.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\scratch\ts_output.txt with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\__init__.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\cli\main.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\cli\__init__.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\domain\__init__.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\domain\evaluation\baseline.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\domain\evaluation\constants.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\domain\evaluation\ports.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\domain\evaluation\prompt_synthesizer.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\domain\evaluation\scoping.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\domain\evaluation\scorecard.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\domain\evaluation\service.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\domain\evaluation\session.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\domain\evaluation\__init__.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\domain\evaluation\analyzers\ast.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\domain\evaluation\analyzers\graph.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\domain\evaluation\analyzers\regex.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\domain\evaluation\analyzers\semantic.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\domain\evaluation\analyzers\__init__.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\domain\evaluation\plugins\interfaces.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\domain\evaluation\plugins\registry.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\domain\evaluation\plugins\scaffold.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\domain\evaluation\plugins\__init__.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\domain\observability\telemetry.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\domain\observability\__init__.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\domain\observability\exporters\local.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\domain\observability\exporters\__init__.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\domain\policy\config.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\domain\policy\models.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\domain\policy\pack.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\domain\policy\pack_manager.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\domain\policy\parser.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\domain\policy\__init__.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\infrastructure\installer.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
